CustomerID,PurchaseDate,TransactionAmount,ProductInformation,OrderID,Location
8814,2023-04-11,943.31,Product C,890075,Tokyo
2188,2023-04-11,463.7,Product A,176819,London
4608,2023-04-11,80.28,Product A,340062,New York
2559,2023-04-11,221.29,Product A,239145,London
9482,2023-04-11,739.56,Product A,194545,Paris
8483,2023-04-11,375.23,Product C,691194,Paris
8317,2023-04-11,272.56,Product B,826847,New York
6911,2023-04-11,433.33,Product C,963918,Tokyo
8993,2023-04-12,16.55,Product D,112426,New York
3519,2023-04-12,464.63,Product C,139726,New York
9005,2023-04-12,120.75,Product C,972064,Paris
9409,2023-04-12,865.98,Product A,597126,London
5670,2023-04-12,392.7,Product B,995296,London
8724,2023-04-12,623.35,Product C,739717,London
9148,2023-04-12,99.15,Product D,629996,Tokyo
5837,2023-04-12,978.17,Product D,387813,New York
2767,2023-04-12,299.57,Product D,342397,Tokyo
2824,2023-04-12,744.13,Product B,334053,London
9128,2023-04-12,388.9,Product D,281201,Paris
1520,2023-04-12,102.76,Product B,629903,New York
8719,2023-04-12,338.56,Product B,313701,Paris
8529,2023-04-12,132.99,Product B,562721,Tokyo
8705,2023-04-12,751.53,Product A,466960,London
6347,2023-04-12,637.78,Product D,614435,London
4161,2023-04-12,692.36,Product C,859587,London
2228,2023-04-12,997.19,Product B,777366,Tokyo
6638,2023-04-12,417.64,Product C,812597,London
5533,2023-04-13,13.51,Product B,768061,Paris
9871,2023-04-13,849.53,Product C,750817,Paris
9864,2023-04-13,621.28,Product B,761820,Paris
1146,2023-04-13,585.27,Product D,821846,London
9115,2023-04-13,134.98,Product C,205239,Tokyo
5494,2023-04-13,974.55,Product C,831295,London
4190,2023-04-13,786.12,Product B,745073,London
5583,2023-04-13,693.38,Product B,564920,Tokyo
2617,2023-04-13,575.3,Product D,789880,Tokyo
6878,2023-04-13,226.63,Product D,343007,New York
5349,2023-04-13,117.32,Product D,462479,Paris
5173,2023-04-13,711.7,Product A,645175,London
8216,2023-04-13,924.97,Product B,309385,Paris
4302,2023-04-13,793.2,Product A,430926,Paris
5087,2023-04-13,461.88,Product C,838862,London
2524,2023-04-13,922.06,Product D,834891,Paris
2741,2023-04-13,897.91,Product D,247271,Tokyo
2139,2023-04-13,664.65,Product C,183667,London
5919,2023-04-13,812.08,Product A,123682,Paris
7781,2023-04-13,566.9,Product B,877259,London
9584,2023-04-13,840.68,Product A,957730,New York
2848,2023-04-13,811.38,Product D,744793,New York
1742,2023-04-13,145.67,Product C,943019,Tokyo
3676,2023-04-14,223.31,Product C,599687,New York
9120,2023-04-14,972.57,Product D,923975,Paris
3573,2023-04-14,110.25,Product B,299212,Tokyo
2169,2023-04-14,174.26,Product C,723948,Paris
4401,2023-04-14,192.99,Product A,785010,Paris
8552,2023-04-14,176.31,Product D,961599,Tokyo
4909,2023-04-14,252.03,Product D,221620,Tokyo
9985,2023-04-14,36.1,Product D,649435,New York
7770,2023-04-14,195.71,Product C,752878,Tokyo
7797,2023-04-14,402.49,Product C,347231,Tokyo
3406,2023-04-14,174.68,Product B,641737,Tokyo
1323,2023-04-14,692.85,Product D,565897,Tokyo
2200,2023-04-14,186.21,Product C,685193,New York
5557,2023-04-14,511.86,Product D,522866,London
1616,2023-04-14,375.05,Product C,180458,New York
5347,2023-04-14,135.49,Product D,651640,New York
4923,2023-04-14,248.46,Product A,189814,Tokyo
